Reason,Country,Visitor
VACATION,UNITED STATES OF AMERICA.,912314
VACATION,CANADA,300580
FRIENDS-RELATIVES,UNITED STATES OF AMERICA.,186624
SPORT,VAC,136019
VACATION,UNITED KINGDOM,122638
WEDDING,UNITED STATES OF AMERICA.,115603
SPORT,UNITED STATES OF AMERICA.,79767
FRIENDS-RELATIVES,UNITED KINGDOM,45746
BUSINESS,UNITED STATES OF AMERICA.,43220
FRIENDS-RELATIVES,CANADA,40532
FUNERAL,UNITED STATES OF AMERICA.,38749
WEDDING,CANADA,26453
OTHER,UNITED STATES OF AMERICA.,17096
SPORT,CANADA,15728
OTHER,UNITED STATES OF AMERICA.,14327
SPORT,UNITED KINGDOM,13815
BUSINESS,UNITED KINGDOM,11853
VACATION,SWEDEN,8206
BUSINESS,CANADA,8047
VACATION,ITALY,7982
FUNERAL,CANADA,7811
MISSIONARY,UNITED STATES OF AMERICA.,7771
WEDDING,UNITED KINGDOM,6826
VACATION,CAYMAN ISLANDS,6765
VACATION,HOLLAND,5768
SPORT,CAYMAN ISLANDS,5625
FRIENDS-RELATIVES,CAYMAN ISLANDS,4829
VACATION,CHILE,4804
VACATION,BELGIUM,4740
CONFERENCE,UNITED STATES OF AMERICA.,4464
FUNERAL,UNITED KINGDOM,4191
VACATION,FRANCE,3891
OTHER,UNITED KINGDOM,3599
BUSINESS,TRINIDAD & TOBAGO,3566
OTHER,UNITED KINGDOM,3495
VACATION,GERMANY,3274
OTHER,CANADA,2991
VACATION,ARGENTINA,2984
VACATION,TRINIDAD & TOBAGO,2923
HONEYMOON,UNITED STATES OF AMERICA.,2847
VACATION,SWITZERLAND,2717
SPORT,TRINIDAD & TOBAGO,2694
OTHER,CANADA,2343
VACATION,FINLAND,2261
VACATION,BRAZIL,2233
VACATION,AUSTRALIA,2213
BUSINESS,MEXICO,1870
VACATION,AUSTRIA,1808
VACATION,BAHAMAS,1800
FRIENDS-RELATIVES,BAHAMAS,1784
BUSINESS-VACATION,UNITED STATES OF AMERICA.,1706
VACATION,DENMARK,1613
VACATION,COLOMBIA,1611
OTHER,CAYMAN ISLANDS,1582
VACATION,CHINA,1543
VACATION,MEXICO,1536
OTHER,TRINIDAD & TOBAGO,1518
